source	target	rc	ecl_size	log
th08	th10	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th08	th12	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th08	th15	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th10	th08	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th10	th12	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th10	th15	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th12	th08	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th12	th10	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th12	th15	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th15	th08	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th15	th10	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
th15	th12	1	0	wine: a wine server seems to be running, but I cannot connect to it. |    You probably need to kill that process (it might be pid 50589).
